ordinalencoder__V2,ordinalencoder__V3,ordinalencoder__V4,ordinalencoder__V5,ordinalencoder__V7,ordinalencoder__V8,ordinalencoder__V11,remainder__V1,remainder__V6,remainder__V12,remainder__V13,remainder__V14,remainder__V15,target
4,2,2,0,1,0,8,38,424,104,1,-1,0,1
1,1,3,0,1,0,8,47,306,13,1,-1,0,1
1,2,3,0,1,0,8,40,24,185,1,-1,0,1
7,1,0,0,1,0,8,46,179,1778,1,-1,0,1
0,1,2,0,1,0,8,32,0,138,1,-1,0,1
9,0,1,0,1,0,8,53,989,812,1,-1,0,1
1,1,0,0,1,0,8,57,249,164,1,-1,0,1
7,1,1,0,1,0,8,33,790,391,1,-1,0,1
1,1,3,0,1,0,8,49,154,357,1,-1,0,1
4,1,2,0,1,0,8,51,6530,91,1,-1,0,1
5,1,2,0,0,0,8,60,100,528,1,-1,0,1
4,0,2,0,1,0,8,59,59,273,1,-1,0,1
9,1,1,0,1,0,8,55,1205,158,2,-1,0,1
1,2,1,0,1,1,8,35,12223,177,1,-1,0,1
1,1,1,0,1,1,8,57,5935,258,1,-1,0,1
7,1,1,0,1,1,8,31,25,172,1,-1,0,1
4,1,1,0,1,1,8,54,282,154,1,-1,0,1
1,1,0,0,1,0,8,55,23,291,1,-1,0,1
9,1,1,0,1,0,8,43,1937,181,1,-1,0,1
9,1,1,0,1,0,8,53,384,176,1,-1,0,1
1,1,1,0,0,1,8,44,582,211,1,-1,0,1
7,0,1,0,0,0,8,55,91,349,1,-1,0,1
7,0,1,0,1,1,8,49,0,272,1,-1,0,1
7,0,1,1,1,0,8,55,1,208,1,-1,0,1
0,2,1,0,1,0,8,45,206,193,1,-1,0,1
7,0,1,0,0,0,8,47,164,212,1,-1,0,1
9,2,1,0,1,0,8,42,690,20,1,-1,0,1
0,1,1,0,1,0,8,59,2343,1042,1,-1,0,2
6,1,2,0,1,1,8,46,137,246,1,-1,0,1
1,1,0,0,1,0,8,51,173,529,2,-1,0,1
0,1,1,0,0,0,8,56,45,1467,1,-1,0,2
9,1,1,0,1,0,8,41,1270,1389,1,-1,0,2
4,0,1,0,1,1,8,46,16,188,2,-1,0,1
5,1,1,0,1,0,8,57,486,180,2,-1,0,1
4,2,1,0,0,0,8,42,50,48,1,-1,0,1
9,1,1,0,1,1,8,30,152,213,2,-1,0,1
0,1,1,0,1,0,8,60,290,583,1,-1,0,1
1,1,3,0,1,0,8,60,54,221,1,-1,0,1
2,0,1,0,0,0,8,57,-37,173,1,-1,0,1
4,1,2,0,1,1,8,36,101,426,1,-1,0,1
1,1,1,0,0,0,8,55,383,287,1,-1,0,1
5,1,2,0,1,0,8,60,81,101,1,-1,0,1
9,1,1,0,1,0,8,39,0,203,1,-1,0,1
4,1,2,0,1,0,8,46,229,197,1,-1,0,1
1,1,1,0,1,0,8,44,-674,257,1,-1,0,1
1,1,0,0,0,0,8,53,90,124,1,-1,0,1
1,1,0,0,1,0,8,52,128,229,1,-1,0,1
1,1,0,0,1,0,8,59,179,55,3,-1,0,1
9,2,2,0,1,0,8,27,0,400,1,-1,0,1
1,1,1,0,1,0,8,44,54,197,1,-1,0,1
9,1,2,0,1,0,8,47,151,190,1,-1,0,1
0,1,1,0,0,1,8,34,61,21,1,-1,0,1
5,2,1,0,1,0,8,59,30,514,1,-1,0,1
4,1,2,0,1,0,8,45,523,849,2,-1,0,1
7,0,1,0,1,0,8,29,31,194,1,-1,0,1
9,0,1,0,0,0,8,46,79,144,1,-1,0,1
6,1,0,0,1,1,8,56,-34,212,2,-1,0,1
1,1,0,0,1,0,8,36,448,286,1,-1,0,1
5,0,0,0,1,0,8,59,81,107,1,-1,0,1
1,1,1,0,1,0,8,44,144,247,2,-1,0,1
0,1,1,0,1,0,8,41,351,518,1,-1,0,1
4,2,2,0,1,0,8,33,-67,364,1,-1,0,1
4,0,2,0,0,0,8,59,262,178,1,-1,0,1
9,1,0,0,0,0,8,57,0,98,1,-1,0,1
9,0,3,0,1,0,8,56,56,439,1,-1,0,1
1,1,1,0,1,0,8,51,26,79,1,-1,0,1
0,1,3,0,1,0,8,34,3,120,3,-1,0,1
7,1,1,0,1,1,8,43,41,127,2,-1,0,1
9,1,2,0,0,1,8,52,7,175,1,-1,0,1
9,2,1,0,1,0,8,33,105,262,2,-1,0,1
0,2,1,0,1,1,8,29,818,61,1,-1,0,1
7,1,1,0,1,1,8,34,-16,78,1,-1,0,1
1,1,1,0,1,0,8,31,0,143,1,-1,0,1
7,1,1,0,1,0,8,55,2476,579,1,-1,0,2
4,1,3,0,0,0,8,55,1185,677,1,-1,0,1
0,2,1,0,1,0,8,32,217,345,1,-1,0,1
9,2,1,0,1,0,8,38,1685,185,1,-1,0,1
0,2,1,0,1,1,8,55,802,100,2,-1,0,1
10,2,2,0,1,0,8,28,0,125,2,-1,0,1
1,1,1,0,1,0,8,23,94,193,1,-1,0,1
9,2,1,0,1,0,8,32,0,136,1,-1,0,1
7,2,3,0,0,0,8,43,0,73,1,-1,0,1
1,1,1,0,1,0,8,32,517,528,1,-1,0,1
1,1,1,0,1,0,8,46,265,541,1,-1,0,1
3,0,0,0,1,0,8,53,947,163,1,-1,0,1
6,2,1,0,1,0,8,34,3,301,1,-1,0,1
10,1,2,0,0,0,8,57,42,46,1,-1,0,1
1,1,1,0,1,0,8,37,37,204,1,-1,0,1
1,1,1,0,1,0,8,59,57,98,1,-1,0,1
7,1,1,0,1,0,8,33,22,71,1,-1,0,1
1,0,0,0,1,0,8,56,8,157,2,-1,0,1
10,1,1,0,1,0,8,48,293,243,1,-1,0,1
7,1,0,0,1,0,8,43,3,186,2,-1,0,1
1,1,0,0,1,0,8,54,348,579,2,-1,0,1
1,1,3,0,1,0,8,51,-19,163,2,-1,0,1
8,2,1,0,1,0,8,26,0,610,2,-1,0,1
4,1,2,0,1,0,8,40,-4,2033,1,-1,0,1
4,1,1,0,1,0,8,39,18,85,1,-1,0,1
9,1,0,0,0,0,8,50,139,114,2,-1,0,1
7,1,1,0,1,0,8,41,0,114,2,-1,0,1
1,1,3,0,1,0,8,51,1883,57,1,-1,0,1
5,0,1,0,1,0,8,60,216,238,1,-1,0,1
1,1,1,0,1,0,8,52,782,93,3,-1,0,1
1,1,1,0,1,0,8,48,904,128,2,-1,0,1
7,1,3,0,1,0,8,48,1705,107,1,-1,0,1
9,2,2,0,1,0,8,39,47,181,1,-1,0,1
7,2,1,0,1,0,8,47,176,303,2,-1,0,1
1,1,1,0,1,0,8,40,1225,558,5,-1,0,1
9,1,1,0,1,0,8,45,86,270,1,-1,0,1
0,2,1,0,1,0,8,26,82,228,1,-1,0,1
4,1,2,0,1,0,8,52,271,99,1,-1,0,1
9,1,1,0,1,0,8,54,1378,240,1,-1,0,1
0,1,2,0,0,0,8,54,184,673,2,-1,0,2
1,1,0,0,0,0,8,50,0,233,3,-1,0,1
1,1,1,0,1,0,8,35,0,1056,1,-1,0,1
7,1,1,0,1,1,8,44,1357,250,1,-1,0,1
2,1,3,0,1,0,8,53,19,252,1,-1,0,1
5,2,0,0,0,0,8,35,434,138,1,-1,0,1
0,0,1,0,1,0,8,60,92,130,1,-1,0,1
0,0,1,0,1,0,8,53,1151,412,1,-1,0,1
10,1,1,0,1,0,8,48,41,179,2,-1,0,1
9,1,1,0,1,0,8,34,51,19,2,-1,0,1
7,1,1,0,1,0,8,54,214,458,2,-1,0,1
4,1,1,0,1,0,8,51,1161,717,1,-1,0,1
7,1,2,0,1,0,8,31,37,313,1,-1,0,1
9,0,1,0,1,0,8,35,787,683,2,-1,0,1
7,1,1,0,1,0,8,35,59,1077,1,-1,0,1
9,1,1,0,1,0,8,38,253,416,1,-1,0,1
0,1,2,0,1,0,8,36,211,146,2,-1,0,1
5,1,0,0,1,0,8,58,235,167,1,-1,0,1
7,0,3,0,1,0,8,40,4384,315,1,-1,0,1
4,1,1,0,0,0,8,54,4080,140,1,-1,0,1
1,2,1,0,1,1,8,34,53,346,1,-1,0,1
4,2,2,0,1,0,8,31,0,562,1,-1,0,1
5,1,1,0,1,0,8,51,2127,172,1,-1,0,1
4,1,2,0,1,0,8,33,377,217,1,-1,0,1
4,1,2,0,1,0,8,55,73,142,2,-1,0,1
0,1,1,0,1,0,8,42,445,67,1,-1,0,1
1,1,1,0,1,0,8,34,243,291,1,-1,0,1
1,2,1,0,1,0,8,33,307,309,2,-1,0,1
7,1,1,0,1,0,8,38,155,248,1,-1,0,1
9,0,2,0,0,1,8,50,173,98,1,-1,0,1
4,1,2,0,1,0,8,43,400,256,1,-1,0,1
1,0,0,0,1,0,8,61,1428,82,2,-1,0,1
0,1,1,0,1,0,8,47,219,577,1,-1,0,1
6,1,2,0,1,0,8,48,7,286,1,-1,0,1
1,1,1,0,1,0,8,44,575,477,1,-1,0,1
8,2,3,0,1,0,8,35,298,611,2,-1,0,1
7,1,1,0,1,0,8,35,0,471,1,-1,0,1
7,1,1,0,1,0,8,50,5699,381,2,-1,0,1
4,1,2,0,1,1,8,41,176,42,1,-1,0,1
4,1,2,0,1,0,8,41,517,251,1,-1,0,1
7,2,3,0,1,0,8,39,257,408,1,-1,0,1
5,1,1,0,1,0,8,42,56,215,1,-1,0,1
1,1,1,0,1,0,8,38,-390,287,1,-1,0,1
5,1,1,0,1,0,8,53,330,216,2,-1,0,1
3,0,0,0,0,0,8,59,195,366,2,-1,0,1
7,1,1,0,1,0,8,36,301,210,1,-1,0,1
1,1,0,0,1,0,8,54,-41,288,1,-1,0,1
9,1,2,0,1,0,8,40,483,168,1,-1,0,1
11,1,3,0,0,0,8,47,28,338,2,-1,0,1
10,1,3,0,0,0,8,53,13,410,3,-1,0,1
3,1,0,0,0,0,8,46,965,177,1,-1,0,1
4,1,2,0,1,1,8,39,378,127,2,-1,0,1
10,1,1,0,1,0,8,40,219,357,1,-1,0,1
1,1,0,0,1,0,8,28,324,175,1,-1,0,1
2,0,1,0,1,0,8,35,-69,300,1,-1,0,1
5,1,1,0,0,1,8,55,0,136,1,-1,0,1
9,0,3,0,1,0,8,43,205,1419,1,-1,0,1
1,1,0,0,1,0,8,48,278,125,2,-1,0,1
4,1,3,0,1,0,8,58,1065,213,3,-1,0,1
4,2,2,0,1,0,8,33,34,27,1,-1,0,1
1,1,3,0,0,0,8,36,1033,238,2,-1,0,1
7,0,1,0,1,0,8,53,1467,124,1,-1,0,1
1,1,0,0,1,0,8,47,-12,18,1,-1,0,1
7,1,1,0,1,0,8,31,388,730,2,-1,0,1
2,1,1,0,1,0,8,57,294,746,2,-1,0,1
1,1,3,0,0,0,8,53,1827,121,1,-1,0,1
1,1,0,0,1,0,8,55,627,247,1,-1,0,1
1,1,0,0,1,0,8,45,25,40,1,-1,0,1
0,0,1,0,1,0,8,53,315,181,2,-1,0,1
1,1,0,0,1,0,8,37,0,79,1,-1,0,1
0,0,1,0,1,0,8,44,66,206,1,-1,0,1
1,0,0,0,1,1,8,49,-9,389,1,-1,0,1
9,1,1,0,1,1,8,46,349,127,1,-1,0,1
2,1,3,0,1,0,8,43,100,702,1,-1,0,1
0,1,1,0,0,0,8,38,0,151,1,-1,0,1
9,1,1,0,1,0,8,43,434,117,1,-1,0,1
4,1,2,0,1,0,8,49,3237,232,3,-1,0,1
4,1,3,0,0,0,8,42,275,408,2,-1,0,1
1,2,1,0,1,0,8,22,0,179,2,-1,0,1
4,1,2,0,1,0,8,40,207,39,1,-1,0,1
1,1,1,0,1,0,8,39,483,282,1,-1,0,1
7,1,1,0,1,0,8,51,2248,714,2,-1,0,1
0,1,1,0,1,0,8,49,428,50,1,-1,0,1
1,1,1,0,1,1,8,53,0,181,1,-1,0,1
7,2,1,0,1,0,8,34,0,142,1,-1,0,1
9,0,1,0,1,0,8,33,140,227,1,-1,0,1
4,2,2,0,1,0,8,50,297,119,1,-1,0,1
1,1,0,0,1,0,8,39,279,361,1,-1,0,1
2,0,1,0,1,0,8,59,901,73,3,-1,0,1
9,2,1,0,1,0,8,30,2573,67,2,-1,0,1
7,1,1,0,1,1,8,36,143,350,1,-1,0,1
1,1,1,0,1,0,8,40,475,332,2,-1,0,1
1,1,1,0,1,0,8,53,70,611,2,-1,0,1
4,2,2,0,1,0,8,34,318,113,2,-1,0,1
9,1,1,0,1,0,8,37,275,132,1,-1,0,1
4,0,2,0,1,0,8,42,742,58,3,-1,0,1
2,1,0,0,1,0,8,41,236,151,1,-1,0,1
8,2,2,0,1,0,8,30,25,89,2,-1,0,1
4,2,2,0,1,0,8,37,600,152,1,-1,0,1
0,0,1,0,1,0,8,39,-349,611,2,-1,0,1
1,1,0,0,1,1,8,41,183,110,2,-1,0,1
1,1,0,0,1,0,8,40,0,463,1,-1,0,1
4,2,2,0,1,1,8,42,0,562,2,-1,0,2
1,0,0,0,1,0,8,40,0,962,1,-1,0,1
9,1,1,0,1,0,8,57,1078,10,4,-1,0,1
2,0,1,0,0,0,8,56,155,118,3,-1,0,1
0,1,1,0,1,0,8,37,190,92,2,-1,0,1
5,1,1,0,1,0,8,59,319,143,3,-1,0,1
7,0,1,0,1,0,8,39,-185,189,3,-1,0,1
7,1,1,0,0,0,8,49,47,234,2,-1,0,1
7,2,1,0,1,0,8,38,570,75,2,-1,0,1
6,1,2,0,0,0,8,36,19,189,2,-1,0,1
1,1,0,0,1,0,8,50,61,621,3,-1,0,1
0,1,1,0,1,1,8,41,-62,55,2,-1,0,1
9,1,2,0,0,0,8,54,258,310,4,-1,0,1
1,1,0,0,1,0,8,58,76,156,2,-1,0,1
1,2,1,0,1,0,8,30,0,5,2,-1,0,1
0,2,1,0,1,0,8,33,352,225,2,-1,0,1
0,1,1,0,1,0,8,47,368,125,2,-1,0,1
9,2,2,0,1,0,8,50,339,2,3,-1,0,1
1,1,1,0,1,0,8,32,1331,286,2,-1,0,1
6,1,1,0,1,0,8,40,672,164,2,-1,0,1
4,1,2,0,1,0,8,37,58,98,2,-1,0,1
9,2,3,0,1,0,8,54,447,742,2,-1,0,1
8,2,1,0,1,0,8,24,423,226,3,-1,0,1
4,1,2,0,0,0,8,54,0,120,2,-1,0,1
9,1,1,0,1,0,8,34,19,362,4,-1,0,1
9,0,0,0,1,0,8,56,13,357,2,-1,0,1
1,2,1,0,1,0,8,31,3,200,2,-1,0,1
8,2,1,0,1,0,8,24,82,204,2,-1,0,1
1,0,0,0,1,0,8,42,28,126,3,-1,0,1
9,1,1,0,1,0,8,57,792,65,2,-1,0,1
1,1,3,0,1,0,8,42,408,107,2,-1,0,1
0,1,1,0,1,0,8,51,531,267,2,-1,0,1
5,1,1,0,1,0,8,57,211,248,2,-1,0,1
7,2,1,0,1,0,8,36,62,215,2,-1,0,1
7,1,3,0,1,0,8,53,257,209,2,-1,0,1
9,1,1,0,1,0,8,50,1234,205,2,-1,0,1
4,1,2,0,1,0,8,54,313,83,2,-1,0,1
1,1,1,0,1,0,8,55,89,106,3,-1,0,1
1,1,1,0,1,1,8,44,129,189,2,-1,0,1
4,1,3,0,1,0,8,43,0,105,2,-1,0,1
0,1,1,0,1,0,8,56,353,106,2,-1,0,1
9,1,3,0,1,0,8,54,851,108,2,-1,0,1
7,0,0,0,1,1,8,55,96,311,2,-1,0,1
7,0,1,0,1,1,8,37,398,214,2,-1,0,1
0,2,2,0,0,0,8,33,193,132,2,-1,0,1
0,1,1,0,1,0,8,46,-358,358,2,-1,0,1
1,1,1,0,1,1,8,36,539,453,2,-1,0,1
9,2,1,0,1,0,8,51,0,364,2,-1,0,1
5,2,0,0,0,0,8,40,0,136,2,-1,0,1
1,1,1,0,1,0,8,42,490,386,2,-1,0,1
1,1,1,0,1,0,8,51,0,173,2,-1,0,1
1,1,3,0,1,0,8,49,403,241,2,-1,0,1
4,1,1,0,1,0,8,48,161,224,3,-1,0,1
9,0,2,0,0,0,8,32,2558,148,2,-1,0,1
0,2,1,0,1,0,8,31,98,196,2,-1,0,1
4,2,2,0,0,0,8,55,115,111,4,-1,0,1
1,2,1,0,1,0,8,40,436,231,3,-1,0,1
9,1,2,0,1,0,8,47,831,316,3,-1,0,1
9,1,3,0,1,0,8,57,206,216,3,-1,0,1
1,1,1,0,1,0,8,41,290,240,2,-1,0,1
1,1,1,0,0,0,8,48,1,669,3,-1,0,1
1,1,3,0,1,0,8,42,57,425,2,-1,0,1
1,2,1,0,1,0,8,30,-457,143,2,-1,0,1
4,2,2,0,1,0,8,58,1387,174,5,-1,0,1
4,0,2,0,1,0,8,45,24598,313,3,-1,0,1
1,1,1,0,1,0,8,49,30,135,4,-1,0,1
0,2,1,0,1,0,8,42,1022,146,2,-1,0,1
9,1,1,0,1,1,8,53,56,152,2,-1,0,1
0,2,1,1,0,0,8,51,-2,402,3,-1,0,1
7,2,1,0,1,0,8,32,121,213,2,-1,0,1
1,2,1,0,1,0,8,41,842,144,3,-1,0,1
4,0,1,0,1,0,8,43,693,124,3,-1,0,1
1,0,1,0,1,0,8,40,-333,183,2,-1,0,1
1,1,0,0,1,0,8,50,1533,325,2,-1,0,1
4,1,2,0,1,0,8,34,46,39,4,-1,0,1
7,1,3,0,0,0,8,53,18,503,2,-1,0,1
9,1,1,0,1,0,8,45,44,95,4,-1,0,1
1,1,0,0,1,0,8,39,-100,680,2,-1,0,1
7,1,2,0,1,0,8,44,510,421,4,-1,0,1
4,1,2,0,1,0,8,55,685,174,3,-1,0,1
4,2,2,0,1,0,8,46,187,113,2,-1,0,1
1,1,1,0,1,0,8,45,66,808,2,-1,0,1
0,1,1,0,1,0,8,34,560,198,3,-1,0,1
1,1,1,0,1,0,8,36,0,195,2,-1,0,1
11,0,3,0,0,0,8,59,27,347,3,-1,0,1
0,2,1,0,1,0,8,31,12,208,2,-1,0,1
1,2,1,0,1,0,8,44,34,404,4,-1,0,1
2,2,2,0,1,0,8,33,1068,396,2,-1,0,1
1,1,1,0,1,0,8,40,211,216,4,-1,0,1
0,2,2,0,1,0,8,46,377,98,2,-1,0,1
4,1,2,0,1,0,8,48,263,350,2,-1,0,1
7,1,1,0,1,0,8,42,1263,114,2,-1,0,1
7,1,1,0,1,0,8,27,8,88,3,-1,0,1
0,1,1,0,1,1,8,48,126,379,2,-1,0,1
0,1,1,0,1,0,8,59,230,190,3,-1,0,1
9,1,2,0,1,0,8,46,841,158,1,-1,0,1
0,0,1,0,1,0,8,38,308,102,1,-1,0,1
4,0,2,0,1,0,8,43,1,306,1,-1,0,1
0,0,2,0,1,0,8,38,86,218,1,-1,0,1
8,2,1,0,1,0,8,23,157,54,1,-1,0,1
7,1,1,0,1,0,8,34,22,344,1,-1,0,1
0,1,1,0,1,1,8,38,46,195,1,-1,0,1
1,1,1,0,0,0,8,37,1293,652,1,-1,0,1
0,2,1,0,1,0,8,25,122,286,1,-1,0,1
1,1,3,0,1,0,8,48,131,189,1,-1,0,1
1,2,1,0,1,0,8,49,143,83,1,-1,0,1
0,2,1,0,0,0,8,38,393,184,2,-1,0,1
1,1,0,0,1,0,8,43,98,235,1,-1,0,1
4,1,2,0,1,0,8,33,0,290,1,-1,0,1
1,1,1,0,1,0,8,55,224,232,1,-1,0,1
1,1,1,0,1,0,8,38,757,133,1,-1,0,1
7,1,1,0,1,1,8,49,245,318,1,-1,0,1
4,1,1,0,0,0,8,40,8486,260,3,-1,0,1
0,1,3,0,0,0,8,43,350,437,1,-1,0,1
1,1,1,0,1,0,8,38,20,402,1,-1,0,1
7,1,1,0,1,1,8,58,1667,85,1,-1,0,1
9,1,3,0,1,0,8,57,345,125,1,-1,0,1
10,1,1,0,1,0,8,32,10,501,4,-1,0,1
4,1,2,0,1,1,8,56,830,1201,1,-1,0,2
1,0,3,0,1,0,8,58,29,253,1,-1,0,1
5,0,1,0,1,0,8,60,545,1030,1,-1,0,2
9,1,2,0,1,0,8,37,8730,149,1,-1,0,1
9,0,2,0,1,0,8,46,477,114,1,-1,0,1
0,1,1,0,1,0,8,27,4,243,1,-1,0,1
1,1,1,0,1,0,8,43,1205,769,2,-1,0,1
9,2,1,0,1,1,8,32,0,135,3,-1,0,1
0,2,1,0,1,0,8,40,263,231,1,-1,0,1
0,1,1,0,0,0,8,38,1,76,1,-1,0,1
1,1,1,0,0,1,8,34,283,199,1,-1,0,1
1,1,0,0,1,0,8,47,206,152,1,-1,0,1
3,1,0,0,1,0,8,42,17,124,1,-1,0,1
9,1,1,0,1,1,8,48,141,424,1,-1,0,1
6,2,2,0,1,0,8,29,16,43,1,-1,0,1
7,1,1,0,1,0,8,50,206,154,1,-1,0,1
9,1,3,0,0,0,8,52,7,203,2,-1,0,1
4,1,2,0,0,0,8,50,0,326,1,-1,0,1
5,1,2,0,0,0,8,58,0,393,1,-1,0,1
1,0,0,0,1,0,8,46,1927,241,3,-1,0,1
9,1,1,0,1,0,8,38,284,483,1,-1,0,1
1,1,1,0,1,0,8,46,1660,259,1,-1,0,1
7,2,1,0,1,0,8,32,406,227,1,-1,0,1
1,1,0,0,1,0,8,51,230,673,1,-1,0,1
0,2,1,0,1,0,8,39,-25,576,1,-1,0,1
0,1,1,0,1,0,8,48,182,180,2,-1,0,1
2,1,2,0,1,0,8,36,1169,168,2,-1,0,1
0,0,1,0,1,0,8,34,67,90,1,-1,0,1
9,1,1,0,0,0,8,40,77,505,1,-1,0,1
10,1,1,0,1,0,8,43,0,245,1,-1,0,1
1,0,0,0,1,1,8,52,55,186,1,-1,0,1
9,1,1,1,1,0,8,33,72,623,1,-1,0,1
4,2,2,0,1,0,8,49,163,496,3,-1,0,1
4,2,2,0,1,0,8,32,151,118,1,-1,0,1
0,2,1,0,1,0,8,39,113,342,1,-1,0,1
1,1,1,0,1,0,8,40,0,225,1,-1,0,1
9,2,2,0,1,0,8,38,9,185,3,-1,0,1
4,1,1,0,1,0,8,43,375,196,2,-1,0,1
7,1,1,0,1,0,8,39,1142,276,1,-1,0,1
1,1,0,0,1,0,8,54,2102,76,1,-1,0,1
9,2,2,0,1,0,8,38,4325,87,1,-1,0,1
1,1,1,0,1,0,8,40,217,195,1,-1,0,1
0,1,1,0,1,0,8,55,131,744,1,-1,0,1
4,1,2,0,1,0,8,42,1680,765,1,-1,0,1
1,1,1,0,1,0,8,39,0,262,1,-1,0,1
1,1,0,0,1,0,8,40,46,119,1,-1,0,1
1,1,1,0,1,0,8,32,320,198,2,-1,0,1
0,1,1,0,1,0,8,55,183,150,1,-1,0,1
1,1,1,0,0,0,8,45,39,241,1,-1,0,1
4,2,2,0,1,0,8,35,560,181,1,-1,0,1
9,0,1,0,0,0,8,58,469,196,1,-1,0,1
0,1,1,0,1,0,8,35,530,149,1,-1,0,1
7,1,0,0,1,0,8,49,61,246,1,-1,0,1
9,2,2,0,1,0,8,34,242,112,1,-1,0,1
1,1,1,0,1,0,8,36,139,309,2,-1,0,1
6,2,1,0,1,0,8,24,0,278,1,-1,0,1
9,1,1,0,1,0,8,34,367,140,1,-1,0,1
0,0,1,0,1,0,8,51,228,136,1,-1,0,1
9,2,3,0,1,0,8,39,45248,1623,1,-1,0,2
6,1,3,0,1,0,8,50,-84,101,1,-1,0,1
7,2,1,0,1,0,8,32,310,144,1,-1,0,1
1,1,3,0,1,0,8,42,132,238,1,-1,0,1
9,1,1,0,1,0,8,50,797,354,1,-1,0,1
7,1,1,0,0,0,8,40,71,79,1,-1,0,1
4,0,3,0,1,0,8,46,2,187,1,-1,0,1
4,1,2,0,1,1,8,37,231,451,2,-1,0,1
1,1,1,0,1,1,8,34,270,159,1,-1,0,1
1,1,1,0,1,1,8,44,274,409,1,-1,0,1
0,2,1,0,1,1,8,40,-109,170,1,-1,0,1
9,1,1,0,1,0,8,37,1,608,1,-1,0,2
1,2,1,1,0,0,8,33,-60,243,1,-1,0,1
1,1,1,0,1,0,8,35,89,145,2,-1,0,1
1,0,1,0,0,0,8,58,-11,112,1,-1,0,1
1,1,0,0,1,0,8,39,0,262,2,-1,0,1
1,1,1,0,1,0,8,43,-509,124,1,-1,0,1
10,1,0,0,1,0,8,39,408,53,1,-1,0,1
7,2,0,0,1,0,8,36,58,134,1,-1,0,1
5,2,1,0,0,1,8,57,1640,204,4,-1,0,1
0,2,1,0,1,0,8,36,20,186,1,-1,0,1
1,1,0,0,1,0,8,50,71,678,1,-1,0,1
1,1,1,0,1,0,8,55,52,182,1,-1,0,1
6,1,2,0,1,0,8,44,292,162,1,-1,0,1
